dateTime,authorName,Message
2022-12-20 17:46:32,Narug Narug,เรือรบนะท่าน ชูชีพมีไม่ถึง100ตัว ไม่รู้จะว่ายังไงแล้วคะท่าน หนักๆๆแบบนี้ ภาษีประชาชนเอาไปไหนหมดคะท่าน ระบบป้องกันตัวเองของเรือมันไร้ประสิทธิภาพขนาดนั้นเลยหรอ นี่ทะเลอ่าวไทยนะคะไม่ได้ลึกมากมาย
2022-12-20 17:46:53,ในน้ํามีปลา ในนามีข้าว,เอาเรือดำน้ำออกไปสิรออะไรวะ
2022-12-20 17:46:55,Dasdfy Rasdfg,l
2022-12-20 17:47:03,TP21,ทั้งประเทศไทยมีแค่นี้หร่อ
2022-12-20 17:47:17,Amm Maxx,เรือดำน้ำไม่มีเครื่อง
2022-12-20 17:47:33,ในน้ํามีปลา ในนามีข้าว,จะไปรบคนอื่นชนะไหมนี้ชื้อมาทำคไรคับ
2022-12-20 17:47:42,Leak sovann perki Ball in,ซพจีนเลียจีนก็มีแต่ตะวันตกที่มาช่วยเหลือแบบจริงๆ ไหนพี่สีของพวกทหารไทยวะ
2022-12-20 17:48:48,Amm Maxx,ประสบภัยเรายังช่วยเหล่อตัวเองไม่ได้เลย.....
2022-12-20 17:50:27,RB Roger,งง สัส
2022-12-20 17:50:53,ชีวิตผมทำไหมมันยากจังเลยยยฺ,ถามได้ตรงดีจริงๆ นักข่าวฝรั่ง
2022-12-20 17:51:26,สมบูรณ์ ศรีสุวรรณ,แย่มาก
2022-12-20 17:52:23,ธนพล พวงร้อย,เรือไม้ได้ปิดวาวน้ำท้องเรือจ๊ะ
2022-12-20 17:52:37,สิทธิโชค ดิษฐ์ประทุม,เรือรบสามมิติ แต่แพ้แม้แต่พายุที่ต้องเผชิญอยู่ทุกปี ไม่สมกับคำว่าเรือรบสามมิติ เสียดายของดีแต่รักษาไว้ไม่ได้
2022-12-20 17:53:21,ชีวิตผมทำไหมมันยากจังเลยยยฺ,สั่งมาติดเลยครับกล่องดำเนี่ย 
2022-12-20 17:53:49,ปานเทพ ออนทัวร์เซอร์วิส,ข้าราชการแถลงแล้ว
2022-12-20 17:53:54,My Phone,ไม่มีการพัฒนาไปตามยุคสมัยเลย
2022-12-20 17:55:13,Noonie Be,ผบ. ทร. ขาดความสามารถอย่างเห็นได้ชัด ควรลาออก และรับผิดชอบกับสิ่งที่เกิดขึ้น
2022-12-20 17:55:36,Thai PBS,กองทัพเรือ แถลงพบกำลังพลรอดชีวิต 81 คน (ในจำนวนนี้เป็นผู้ประสบภัย 6 คนรอดชีวิต 2 คน)ยังอยู่ในน้ำ 24 คน
2022-12-20 17:55:37,นิตยา ศรีบัวชุม,จบกันกองเรือเสียหายประเมินค่าไม่ได้ความเชื่อมั่นไิม่มีเหืลอเลย
2022-12-20 17:55:42,ปิ่นทิพย์ หมวดทอง,งานเข้าเต็มๆ
2022-12-20 17:55:55,ชีวิตผมทำไหมมันยากจังเลยยยฺ,ต่างชาติสนใจมากเรือรบ ไม่ได้รบก็จม
2022-12-20 17:57:53,Aoey Channel,น่าจะเรียนภาษาบ้าง
2022-12-20 17:57:58,เดฟ รักจิน,กูว่าแม่งพูดอังกฤษไม่ได้ 5555
2022-12-20 17:58:31,Aoey Channel,เรือดำน้ำ
2022-12-20 18:00:34,Yaowarat Rattanamanee,ยุ่ในน้ำนะ ไม่ได้ยุ่ในป่า
2022-12-20 18:01:05,My Phone,ของทุกอย่างที่ใช้เป็นเครื่องจักรเครื่องยนต์ไม่สมควรที่จะใช้เกิน 20 ปีไม่มีใครสามารถจะรู้ได้ทั้งหมดว่าตัวไหนมันเสียใช้งานได้หรือไม่ได้จะตรวจละเอียดได้หรือว่าเช็คทุกตัวตอนที่ซ่อมไหม
2022-12-20 18:01:16,siri s,เหตุการณ์สูญเสียยิ่งใหญ่ แต่ไม่มีใครกล้าแสดงความรับผิดชอบ ทั้งๆที่คำชี้แจงของกองทัพกับคำสัมภาษณ์ของทหารที่รอดชีวิตขัดแย้งกัน โอกาสที่จะแก้ไขเหตุการณ์ในอนาคตจะเกิดได้อย่างไร
2022-12-20 18:02:34,ASMR KingKong,พ่อเพื่อนผมเป็นครูฝึกทหารแกบอกว่าโอกาสยากมากที่เรือรุ่นนี้จะจมได้ แต่ถ้าเครื่องดับคือจบ เรือต้องไม่มีรูเลยแม้แต่รูเดียว แบบนี้สอบกันยาว
2022-12-20 18:02:45,พระ พระ,ควรเรียนรู้จากไต๋ก๋งเรือหาปลาบ้างนะเขาเก่งกว่าเยอะ
2022-12-20 18:02:57,Amm Maxx,ห่วยมาก
2022-12-20 18:03:13,จิ๋ม ใหญ่,ไม่ต้องใช้ENGมาก แค่อยากรู้ว่า จะช่วยกันยังไง เหลือ อีกตั้ง +20คน
2022-12-20 18:03:37,Dose Over's,"เสื้อชูชีพขนาดมาตรฐานตัวละ450บาทไม่มีปัญาซือ แต่กับรถประจำตำแหน่งนายพลคันละ3,000,000ซื้อเอา ซื้อเอา 🇹🇭🇹🇭🇹🇭"
2022-12-20 18:05:06,siri s,กองทัพเรือควรแสดงความสามารถที่เหนือกองเรือชาติอื่น พอเกิดเหตุการณ์นี้จบเลย
2022-12-20 18:08:11,pong ruam,ผมอ่านข่าวตั้งแต้วันแรก กำลังพลโทรศัพท์หรือไลนมาบอกให้คนไปช่วยนี่แหละ ทางกองทัพเรือก็น่าจะขนเสื้อชูชีพหรือแพยางขึ้น ฮ.ไปหย่อนให้เยอะ ๆ ตั้งแต่เรือยังไม่เอียง ป่านนี้คงจะรอดชีวิตกันทุกคน
2022-12-20 18:09:51,My Phone,เราเชื่อคนที่อยู่ในเหตุการณ์
2022-12-20 18:11:20,พระ พระ,ลมแค่นี้ไม่สามารถจมเรือรบใด้
2022-12-20 18:11:54,ToTooCHE36,ประเด็นจริงๆ คือ ทำไมไม่มีเสื้อชูชีพให้ครบทุกคน
2022-12-20 18:12:15,Nat St,อย่าแถ :pouting_face::pouting_face::pouting_face::anxious_face_with_sweat:
2022-12-20 18:12:16,Fuangfah Weber,ขอคุณพระปกป้องคุ้มครองน้องๆทั้ง 30 นาย ให้รอดปลอดภัยนะคะ
2022-12-20 18:13:49,Fuangfah Weber,คนไม่อยู่ในเรือก็พูดๆๆๆ เราเชื่อน้องๆที่อยู่บนเรือค่ะ
2022-12-20 18:14:36,Don't Care,พูดไปเรื่อยมาก
2022-12-20 18:15:22,Member G.,เงินช่วยเหลือก็คงต้องมีส่วนแบ่งแหล่ะ รู้ๆกันอยู่
2022-12-20 18:15:49,Terapan Chumrum,เรือพี่เลี้ยงต้องมาแล้วต่อเพิ่มอีก30ลำตอนนี้จำเป็นกว่าเรือรบแล้ว
2022-12-20 18:15:51,Ms.fanfun,ขอให้ทุกคนไม่เป็นอะไร รอดๆๆๆๆ
2022-12-20 18:16:12,Don't Care,นี่ญาติเค้าก็รอชื่ออยู่ มัวแต่อ้อยอิ่ง
2022-12-20 18:16:30,niti satr,ใครจะเป็นผู้รับผิดชอบความเสียหายต่อชาติ
2022-12-20 18:17:04,Ms.fanfun,ใช้ฮอบินหาเร็วๆ
2022-12-20 18:17:47,Member G.,เอาเรือดำน้ำไปช่วยได้ไหมอ่ะ
2022-12-20 18:18:39,Přëědà .S,เสียงอย่างเบา
2022-12-20 18:18:44,DJ W.,เรื่องนี้ต้องมีคนรับผิดชอบครับ
2022-12-20 18:18:45,Fuangfah Weber,น้ำตาไหล สงสารน้องๆมาก ปฏิหาริย์ไม่มีจริง เศร้าใจเหลือเกินกับข่าวนี้ :loudly_crying_face::loudly_crying_face::loudly_crying_face:
2022-12-20 18:18:48,siri s,อยากเห็นการออกมาให้คำมั่นสัญญาจากกองทัพว่าจะมัการแก้ไขและปรับปรุงวิธีการปฎิบัติของการเดินเรือเพื่อไม่ให้มีเหตุการณ์แบบนี้ขึ้นได้อีก
2022-12-20 18:18:54,fongwin11,เรือดำน้ำมีไหน้อืมลืมไปไม่มีเครืองยนต์
2022-12-20 18:19:12,เสือลายแมวมึน,ทำไมเสื้อชูชีพไม่ครบอ่ะ
2022-12-20 18:19:15,Nakorn Pitisinrapin,นี่เรือรบเหรอเจอคลื่นแค่นี้ก็จมเสียแล้วยังไม่ทันได้รบเลย
2022-12-20 18:19:39,somporn jitmas,ผมว่าให้ไต่กงเรือประมงมานั่งแทนดีกว่าไหม
