dateTime,authorName,Message
2022-12-20 20:10:12,นายขนมครก,ไม่การันตีแต่ดีกว่าไม่มีอะไรเลยนะ
2022-12-20 20:10:13,Chorthip Kamlaingoen,งบที่เอาไปไปไหนหมด
2022-12-20 20:10:16,Cool Airny,นอกจากกำลัง พลที่สูญเสีย ยังมีอุปกรณ์ในเรือที่เสียหาย
2022-12-20 20:10:22,𝙊𝙫𝙚𝙧` 𝘿𝙤𝙨𝙚,น่าเอาพ่อ เอาลูก ผบ ไปนั่งบนเรือบ้าง
2022-12-20 20:10:23,นายขนมครก,ไม่น่าพูดออกมาเลย
2022-12-20 20:10:42,บรู๊ค ลินน์ NY,น่าสมเพช เรือไทย
2022-12-20 20:11:09,นายขนมครก,ไม่ชอบโดสเลยครัย :face_with_symbols_on_mouth:
2022-12-20 20:11:19,𝙊𝙫𝙚𝙧` 𝘿𝙤𝙨𝙚,เรือไม่ได้ไม่มีประสิทธิภาพ แต่มันขาดการบำรุงรักษา เรือมีรอยรั่วตั้งแต่ก่อนออกเดินทาง แต่ก็ยังออกไป
2022-12-20 20:11:30,YYGG,จึงต้องซื้อเรือดำน้ำใหม่ จร้าาาาา
2022-12-20 20:11:43,Chorthip Kamlaingoen,พูดไดแสบมากท่าน กลวงจริงๆ
2022-12-20 20:11:44,TRWTS,สองวันก่อนลมหนาวแรง เกิดคลื่นที่ทะเล เรือรบไทยจม เวรกรรม !!แล้วเวลาปะทะกัน เรือไทยจะรอดสักลำไหมเนี่ย
2022-12-20 20:11:48,วายโซวะ,ยังไม่ได้รบก็จมแล้ว
2022-12-20 20:11:54,𝙊𝙫𝙚𝙧` 𝘿𝙤𝙨𝙚,แค่เรือมีรอยรั่ว พวกมืง ยังไม่กล้าพูด อ้างน้ำเข้าท่อ
2022-12-20 20:12:31,บรู๊ค ลินน์ NY,ไม่เป็นไรหรอก กำลังพลไทยยังมีอีกเยอะ ที่พร้อมตาย
2022-12-20 20:12:34,ton hunter,แถเสร็จ ไปจิบไวน์ต่อ ปล่อยลูกน้องตามยถากรรมต่อไป
2022-12-20 20:12:35,TRWTS,นี่หรือเรือรบ กระตฝจอกแท้!!!
2022-12-20 20:12:47,คนช่างฝัน,ส่งเรือดำน้ำไปค้นหาสิ
2022-12-20 20:12:56,siamwit theerasasawat,ลูกเรือตายไม่เป็นไรยังไงอย่าตัดงบกูว่างั้น
2022-12-20 20:13:07,𝙊𝙫𝙚𝙧` 𝘿𝙤𝙨𝙚,ระยำจริง
2022-12-20 20:13:17,W.Winter,พิธีรีตรอง พร่ำเพรือ เปลืองงบ ของเก่าเก็บ ไร้ประสิทธิภาพ ซื้อมาไม่ได้ใช้ ที่ใช้ได้ก็ไร้สมถภาพ
2022-12-20 20:13:20,TRWTS,ประยุทธ รมต.กลาโหมทำอะไรอยู่ เงียบเชียว !!
2022-12-20 20:13:24,นายขนมครก,เห้อ
2022-12-20 20:13:32,vs,เบื่อ พวกไม่พูดความจริง แถไปไถมา กลัวความผิดถึงตัว
2022-12-20 20:13:48,mata purra,มีงบมหาศาล แต่ไม่มีเสื้อชูชีพให้พลทหาร มองชีวิตคนยังไง ไม่น่าเป็นผู้นำคน ไม่เห็นคุณค่าชีวิต
2022-12-20 20:13:48,Amnuay Ps,สงสารพลทหารค่ะ
2022-12-20 20:13:52,𝙊𝙫𝙚𝙧` 𝘿𝙤𝙨𝙚,เรือจะไปช่วยคนอื่น แต่มีร่มชูชีพ ตามจำนวนคนบนเรือ ไม่มีสำรอง แต่เสือกพาคนขึ้นอีก 30
2022-12-20 20:13:58,siamwit theerasasawat,เพียงพอแล้วทำไมสูญหายไปนับ10
2022-12-20 20:14:01,Mamai And Whawha,ชีวิตทุกคนมีค่า พูดความจริง ออกมาแสดงความเสียใจ 
2022-12-20 20:14:07,นายขนมครก,เรือเอียงคงที่ ???????
2022-12-20 20:14:08,kong28880,มันเป็นเรือรบนะใม่ใช่เรือเด็กเล่น made in USA มันยังทำจมได้ แล้ว MADE IN CHINA
2022-12-20 20:14:10,บรู๊ค ลินน์ NY,เรือ ซุ๊โขทัย
2022-12-20 20:14:31,vs,คำอธิบายงี่เง่า
